n_obs,signed_area,xcorr_optimal_lag,xcorr_max_corr,granger_best_lag,granger_best_pval,event_type,event_date,equity_ticker,pm_slug
2348,0.1814265603030656,-26,0.053056790940750484,1.0,0.832872,CPI,2026-03-11 12:30:00+00:00,SPY,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2348,0.1814265603030656,-26,0.053056790940750484,1.0,0.832872,CPI,2026-03-11 12:30:00+00:00,SPY,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2348,0.1814265603030656,-26,0.053056790940750484,1.0,0.832872,CPI,2026-03-11 15:00:00+00:00,SPY,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2349,0.210994710571689,-34,-0.027257776132508703,1.0,0.636137,CPI,2026-03-11 12:30:00+00:00,QQQ,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2349,0.210994710571689,-34,-0.027257776132508703,1.0,0.636137,CPI,2026-03-11 12:30:00+00:00,QQQ,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2349,0.210994710571689,-34,-0.027257776132508703,1.0,0.636137,CPI,2026-03-11 15:00:00+00:00,QQQ,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2219,0.0609114460991985,37,0.22746674103830505,1.0,0.697297,CPI,2026-03-11 12:30:00+00:00,TLT,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2219,0.0609114460991985,37,0.22746674103830505,1.0,0.697297,CPI,2026-03-11 12:30:00+00:00,TLT,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2219,0.0609114460991985,37,0.22746674103830505,1.0,0.697297,CPI,2026-03-11 15:00:00+00:00,TLT,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2301,0.10267751299603814,-54,-0.0447569217743234,1.0,0.858412,CPI,2026-03-11 12:30:00+00:00,GLD,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2301,0.10267751299603814,-54,-0.0447569217743234,1.0,0.858412,CPI,2026-03-11 12:30:00+00:00,GLD,will-monthly-inflation-increase-by-0pt0-or-less-in-february
2301,0.10267751299603814,-54,-0.0447569217743234,1.0,0.858412,CPI,2026-03-11 15:00:00+00:00,GLD,will-monthly-inflation-increase-by-0pt0-or-less-in-february
1789,0.11534178964199615,-59,0.054170070127854054,1.0,0.529409,CPI,2026-03-11 12:30:00+00:00,XLF,will-monthly-inflation-increase-by-0pt0-or-less-in-february
1789,0.11534178964199615,-59,0.054170070127854054,1.0,0.529409,CPI,2026-03-11 12:30:00+00:00,XLF,will-monthly-inflation-increase-by-0pt0-or-less-in-february
1789,0.11534178964199615,-59,0.054170070127854054,1.0,0.529409,CPI,2026-03-11 15:00:00+00:00,XLF,will-monthly-inflation-increase-by-0pt0-or-less-in-february
3905,0.38271191717910813,30,0.01774599790965312,8.0,0.55687,NFP,2026-03-06 13:30:00+00:00,SPY,will-mexicos-february-unemployment-rate-be-2pt7
3905,0.38271191717910813,30,0.01774599790965312,8.0,0.55687,NFP,2026-03-06 13:30:00+00:00,SPY,will-mexicos-february-unemployment-rate-be-2pt7
3901,0.5356970863111604,0,-0.06166365632297948,8.0,0.395801,NFP,2026-03-06 13:30:00+00:00,QQQ,will-mexicos-february-unemployment-rate-be-2pt7
3901,0.5356970863111604,0,-0.06166365632297948,8.0,0.395801,NFP,2026-03-06 13:30:00+00:00,QQQ,will-mexicos-february-unemployment-rate-be-2pt7
3596,0.15605545183689296,0,-0.005751159190875213,1.0,0.852265,NFP,2026-03-06 13:30:00+00:00,TLT,will-mexicos-february-unemployment-rate-be-2pt7
3596,0.15605545183689296,0,-0.005751159190875213,1.0,0.852265,NFP,2026-03-06 13:30:00+00:00,TLT,will-mexicos-february-unemployment-rate-be-2pt7
3864,-0.0546728675280157,8,0.09403285118037018,8.0,0.0,NFP,2026-03-06 13:30:00+00:00,GLD,will-mexicos-february-unemployment-rate-be-2pt7
3864,-0.0546728675280157,8,0.09403285118037018,8.0,0.0,NFP,2026-03-06 13:30:00+00:00,GLD,will-mexicos-february-unemployment-rate-be-2pt7
2928,0.3906830965773665,-29,-0.046467767475815006,8.0,0.081832,NFP,2026-03-06 13:30:00+00:00,XLF,will-mexicos-february-unemployment-rate-be-2pt7
2928,0.3906830965773665,-29,-0.046467767475815006,8.0,0.081832,NFP,2026-03-06 13:30:00+00:00,XLF,will-mexicos-february-unemployment-rate-be-2pt7
4804,-0.07765780009920326,-56,0.052009059829269205,9.0,0.010859,FOMC,2026-01-28 13:00:00+00:00,SPY,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4804,-0.07765780009920326,-56,0.052009059829269205,9.0,0.010859,FOMC,2026-01-28 19:00:00+00:00,SPY,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
3842,0.00024820068324285776,-60,0.0,,,FOMC,2026-02-18 19:00:00+00:00,SPY,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4796,0.05915527233850887,-1,-0.06846394356541065,5.0,0.310822,FOMC,2026-03-18 18:00:00+00:00,SPY,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4796,0.05915527233850887,-1,-0.06846394356541065,5.0,0.310822,FOMC,2026-03-18 18:00:00+00:00,SPY,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4800,-0.05766222918298175,-56,0.048035614184562016,8.0,0.164451,FOMC,2026-01-28 13:00:00+00:00,QQQ,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4800,-0.05766222918298175,-56,0.048035614184562016,8.0,0.164451,FOMC,2026-01-28 19:00:00+00:00,QQQ,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
3839,0.0003235705756217829,-60,0.0,,,FOMC,2026-02-18 19:00:00+00:00,QQQ,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4799,0.1943387385358277,53,-0.008816675820009992,1.0,0.765932,FOMC,2026-03-18 18:00:00+00:00,QQQ,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4799,0.1943387385358277,53,-0.008816675820009992,1.0,0.765932,FOMC,2026-03-18 18:00:00+00:00,QQQ,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4514,0.1160371187427237,-52,-0.13862105939909544,1.0,0.963023,FOMC,2026-01-28 13:00:00+00:00,TLT,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4514,0.1160371187427237,-52,-0.13862105939909544,1.0,0.963023,FOMC,2026-01-28 19:00:00+00:00,TLT,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
3348,-0.0001177836761778359,-60,0.0,,,FOMC,2026-02-18 19:00:00+00:00,TLT,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4331,0.14803172169605652,0,-0.004314995383262907,1.0,0.697108,FOMC,2026-03-18 18:00:00+00:00,TLT,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4331,0.14803172169605652,0,-0.004314995383262907,1.0,0.697108,FOMC,2026-03-18 18:00:00+00:00,TLT,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4804,0.19621022270026617,-12,0.09392405424347508,7.0,0.00404,FOMC,2026-01-28 13:00:00+00:00,GLD,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4804,0.19621022270026617,-12,0.09392405424347508,7.0,0.00404,FOMC,2026-01-28 19:00:00+00:00,GLD,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
3792,0.0005683621224536198,-60,0.0,,,FOMC,2026-02-18 19:00:00+00:00,GLD,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4734,-0.03106501774447945,0,0.07764115804316316,5.0,0.0,FOMC,2026-03-18 18:00:00+00:00,GLD,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
4734,-0.03106501774447945,0,0.07764115804316316,5.0,0.0,FOMC,2026-03-18 18:00:00+00:00,GLD,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
3254,0.2848045722713861,-56,0.05248670084751754,7.0,0.316589,FOMC,2026-01-28 13:00:00+00:00,XLF,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
3254,0.2848045722713861,-56,0.05248670084751754,7.0,0.316589,FOMC,2026-01-28 19:00:00+00:00,XLF,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
3036,0.00031854754284688807,-60,0.0,,,FOMC,2026-02-18 19:00:00+00:00,XLF,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
3716,0.056830269607843084,53,-0.18429745061508643,1.0,0.499498,FOMC,2026-03-18 18:00:00+00:00,XLF,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
3716,0.056830269607843084,53,-0.18429745061508643,1.0,0.499498,FOMC,2026-03-18 18:00:00+00:00,XLF,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt0-at-the-end-of-2026-736
1917,0.07572515630135968,0,0.15960247727234184,3.0,0.22911,GDP,2025-03-03 19:00:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3215,0.0669264514567166,0,0.10135878318940143,3.0,0.641595,GDP,2025-03-06 19:00:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3783,0.19793104904815662,-56,0.09587747277180021,10.0,0.285093,GDP,2025-03-17 17:00:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4303,0.2768893467522534,-56,0.08975884392767097,10.0,0.281181,GDP,2025-03-18 16:30:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4763,0.13639224408953182,-43,-0.04958774948546572,2.0,0.166584,GDP,2025-03-26 14:30:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4493,-0.01833235658409743,-4,-0.04566109004526869,2.0,0.124882,GDP,2025-03-27 12:30:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4493,-0.01833235658409743,-4,-0.04566109004526869,2.0,0.124882,GDP,2025-03-27 12:30:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4493,-0.01833235658409743,-4,-0.04566109004526869,2.0,0.124882,GDP,2025-03-27 12:30:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4493,-0.01833235658409743,-4,-0.04566109004526869,2.0,0.124882,GDP,2025-03-27 12:30:00+00:00,SPY,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
